"file","segment","start","end","dur","filedur","mean_intensity","condition","proto_file"
"noPINTs_engl310_01_236","in",5.955,6.147,0.192,6.177,46.3,"noPINTs","engl310_01_236"
"noPINTs_engl310_01_248","in",0.029,0.305,0.276,8.626,39.511,"noPINTs","engl310_01_248"
"noPINTs_engl310_01_248","sil",0.305,0.387,0.083,8.626,24.006,"noPINTs","engl310_01_248"
"noPINTs_engl310_01_248","sil",1.311,1.932,0.621,8.626,33.937,"noPINTs","engl310_01_248"
"noPINTs_engl310_01_248","sil",3.26,3.441,0.18,8.626,25.826,"noPINTs","engl310_01_248"
"noPINTs_engl310_01_248","sil",7.09,7.136,0.046,8.626,24.448,"noPINTs","engl310_01_248"
"noPINTs_engl310_01_248","in",7.136,7.434,0.298,8.626,39.265,"noPINTs","engl310_01_248"
"noPINTs_engl310_01_248","uh",7.434,7.83,0.397,8.626,75.031,"noPINTs","engl310_01_248"
"noPINTs_engl310_01_248","in",8.308,8.593,0.285,8.626,43.795,"noPINTs","engl310_01_248"
"noPINTs_engl310_13_87","in",0.029,0.394,0.366,3.413,46.993,"noPINTs","engl310_13_87"
"noPINTs_engl310_13_87","um",0.394,0.919,0.525,3.413,78.019,"noPINTs","engl310_13_87"
"noPINTs_engl310_13_87","ex",0.919,1.087,0.167,3.413,49.67,"noPINTs","engl310_13_87"
"noPINTs_engl310_13_87","in",3.079,3.381,0.301,3.413,41.997,"noPINTs","engl310_13_87"
"noPINTs_engl310_24_10","in",0.028,0.334,0.306,6.281,44.693,"noPINTs","engl310_24_10"
"noPINTs_engl310_24_10","uh",0.334,0.861,0.526,6.281,77.198,"noPINTs","engl310_24_10"
"noPINTs_engl310_24_10","sil",1.918,2.136,0.218,6.281,25.264,"noPINTs","engl310_24_10"
"noPINTs_engl310_24_10","in",5.913,6.249,0.336,6.281,29.685,"noPINTs","engl310_24_10"
