"subj_id","certain","stimuli","condition"
695738,3,"u_drama","um"
695738,3,"u_dynamic","um"
695738,5,"s_vintage","sil"
695738,6,"f_elegant","fluent"
695738,6,"f_vintage","fluent"
695738,5,"s_imagination","sil"
695738,7,"f_balance","fluent"
695738,3,"u_liveliness","um"
695738,6,"f_tension","fluent"
695738,2,"c_elegant","click"
695738,2,"c_drama","click"
695738,4,"f_drama","fluent"
695738,6,"f_dynamic","fluent"
695738,3,"s_drama","sil"
695738,7,"f_imagination","fluent"
695738,3,"s_tension","sil"
695738,3,"s_dynamic","sil"
695738,3,"c_texture","click"
695738,4,"u_imagination","um"
695738,2,"u_elegant","um"
695738,2,"u_tension","um"
695738,5,"u_vintage","um"
695738,2,"u_texture","um"
695738,5,"c_liveliness","click"
695738,4,"s_serene","sil"
695738,3,"c_balance","click"
695738,6,"f_liveliness","fluent"
695738,4,"u_serene","um"
695739,3,"s_texture","sil"
695739,3,"c_serene","click"
695739,1,"s_imagination","sil"
695739,2,"c_imagination","click"
695739,2,"f_drama","fluent"
695739,4,"u_elegant","um"
695739,2,"s_elegant","sil"
695739,5,"u_liveliness","um"
695739,5,"c_vintage","click"
695739,4,"f_elegant","fluent"
695739,5,"s_vintage","sil"
695739,3,"c_liveliness","click"
695739,3,"u_vintage","um"
695739,6,"f_liveliness","fluent"
695739,4,"s_liveliness","sil"
695739,3,"c_texture","click"
695739,3,"u_balance","um"
695739,5,"f_balance","fluent"
695739,3,"u_dynamic","um"
695739,2,"s_balance","sil"
695739,4,"u_texture","um"
695739,3,"c_balance","click"
695739,3,"u_imagination","um"
695739,4,"c_tension","click"
695739,3,"s_dynamic","sil"
695739,3,"f_dynamic","fluent"
695739,5,"f_texture","fluent"
695739,3,"s_serene","sil"
695739,3,"s_tension","sil"
695739,5,"f_vintage","fluent"
695739,3,"u_tension","um"
695739,4,"u_serene","um"
695739,5,"f_serene","fluent"
695739,3,"u_drama","um"
695739,3,"c_dynamic","click"
695739,3,"s_drama","sil"
695739,3,"c_elegant","click"
695739,3,"c_drama","click"
695739,5,"f_tension","fluent"
695739,5,"f_imagination","fluent"
695742,6,"s_texture","sil"
695742,5,"f_dynamic","fluent"
695742,3,"c_dynamic","click"
695742,7,"f_serene","fluent"
695742,3,"u_tension","um"
695742,7,"f_drama","fluent"
695742,3,"u_texture","um"
695742,3,"u_imagination","um"
695742,2,"c_elegant","click"
695742,3,"c_serene","click"
695742,3,"c_texture","click"
695742,6,"s_vintage","sil"
695742,4,"s_imagination","sil"
695742,7,"f_vintage","fluent"
695742,7,"f_tension","fluent"
695742,7,"f_imagination","fluent"
695742,3,"u_drama","um"
695742,3,"u_vintage","um"
695742,6,"f_texture","fluent"
695742,2,"s_serene","sil"
695742,3,"c_drama","click"
695742,4,"c_imagination","click"
695742,3,"c_tension","click"
695742,6,"s_elegant","sil"
695742,7,"f_elegant","fluent"
695742,6,"s_dynamic","sil"
695742,4,"c_vintage","click"
695742,3,"c_balance","click"
695742,6,"s_liveliness","sil"
695742,4,"s_tension","sil"
695742,3,"u_dynamic","um"
695742,6,"s_drama","sil"
695742,7,"f_liveliness","fluent"
695742,6,"u_liveliness","um"
695742,3,"u_elegant","um"
695742,5,"s_balance","sil"
695742,4,"f_balance","fluent"
695742,3,"c_liveliness","click"
695742,3,"u_balance","um"
695742,3,"u_serene","um"
695743,3,"f_dynamic","fluent"
695743,4,"s_serene","sil"
695743,4,"c_liveliness","click"
695743,4,"s_tension","sil"
695743,2,"u_liveliness","um"
695743,5,"c_imagination","click"
695743,6,"s_texture","sil"
695743,5,"s_vintage","sil"
695743,3,"c_drama","click"
695743,1,"c_tension","click"
695743,7,"f_texture","fluent"
695743,7,"f_imagination","fluent"
695743,7,"f_liveliness","fluent"
695743,4,"u_vintage","um"
695743,4,"s_elegant","sil"
695743,2,"c_dynamic","click"
695743,1,"u_balance","um"
695743,4,"u_elegant","um"
695743,7,"f_vintage","fluent"
695743,4,"u_texture","um"
695743,4,"c_texture","click"
695743,7,"f_drama","fluent"
695743,4,"s_drama","sil"
695743,5,"u_serene","um"
695743,5,"s_imagination","sil"
695743,7,"s_liveliness","sil"
695743,7,"u_imagination","um"
695743,3,"u_tension","um"
695743,1,"c_elegant","click"
695743,3,"c_balance","click"
695743,3,"s_balance","sil"
695743,7,"f_tension","fluent"
695743,7,"f_elegant","fluent"
695743,5,"c_vintage","click"
695743,2,"s_dynamic","sil"
695743,5,"c_serene","click"
695743,7,"f_balance","fluent"
695743,7,"f_serene","fluent"
695743,4,"u_drama","um"
695743,6,"u_dynamic","um"
695744,3,"s_liveliness","sil"
695744,3,"c_serene","click"
695744,5,"f_imagination","fluent"
695744,3,"f_tension","fluent"
695744,5,"f_elegant","fluent"
695744,2,"s_vintage","sil"
695744,4,"f_balance","fluent"
695744,3,"u_dynamic","um"
695744,2,"c_vintage","click"
695744,4,"f_serene","fluent"
695744,2,"u_balance","um"
695744,4,"s_texture","sil"
695744,2,"s_drama","sil"
695744,1,"c_tension","click"
695744,3,"c_texture","click"
695744,4,"f_vintage","fluent"
695744,5,"f_dynamic","fluent"
695744,2,"s_serene","sil"
695744,5,"f_texture","fluent"
695744,5,"f_drama","fluent"
695744,1,"u_drama","um"
695744,1,"s_dynamic","sil"
695744,1,"s_elegant","sil"
695744,2,"u_elegant","um"
695744,1,"c_imagination","click"
695744,2,"c_dynamic","click"
695744,1,"u_tension","um"
695744,3,"u_serene","um"
695744,1,"s_balance","sil"
695744,1,"c_elegant","click"
695744,5,"f_liveliness","fluent"
695744,3,"u_imagination","um"
695744,2,"c_liveliness","click"
695744,3,"s_imagination","sil"
695744,1,"u_vintage","um"
695744,2,"s_tension","sil"
695744,2,"c_drama","click"
695744,3,"u_texture","um"
695744,2,"c_balance","click"
695744,3,"u_liveliness","um"
695745,3,"u_tension","um"
695745,7,"f_elegant","fluent"
695745,6,"f_imagination","fluent"
695745,4,"c_serene","click"
695745,4,"s_dynamic","sil"
695745,4,"u_drama","um"
695745,4,"c_balance","click"
695745,7,"f_texture","fluent"
695745,3,"c_tension","click"
695745,4,"c_drama","click"
695745,7,"f_tension","fluent"
695745,4,"s_tension","sil"
695745,6,"s_texture","sil"
695745,6,"s_vintage","sil"
695745,4,"u_dynamic","um"
695745,7,"f_dynamic","fluent"
695745,5,"s_serene","sil"
695745,3,"c_dynamic","click"
695745,5,"s_balance","sil"
695745,7,"f_serene","fluent"
695745,7,"f_vintage","fluent"
695745,4,"c_liveliness","click"
695745,5,"s_elegant","sil"
695745,4,"u_imagination","um"
695745,4,"u_vintage","um"
695745,4,"u_elegant","um"
695745,4,"c_vintage","click"
695745,4,"c_imagination","click"
695745,4,"u_balance","um"
695745,5,"s_drama","sil"
695745,2,"c_elegant","click"
695745,7,"f_drama","fluent"
695745,6,"s_liveliness","sil"
695745,6,"s_imagination","sil"
695745,7,"f_liveliness","fluent"
695745,4,"u_texture","um"
695745,4,"u_liveliness","um"
695745,7,"f_balance","fluent"
695745,4,"c_texture","click"
695745,4,"u_serene","um"
695746,6,"s_dynamic","sil"
695746,6,"f_texture","fluent"
695746,4,"u_tension","um"
695746,4,"c_tension","click"
695746,4,"u_texture","um"
695746,6,"f_liveliness","fluent"
695746,5,"s_liveliness","sil"
695746,5,"s_balance","sil"
695746,4,"c_balance","click"
695746,4,"u_balance","um"
695746,4,"c_liveliness","click"
695746,4,"c_texture","click"
695746,4,"u_serene","um"
695746,5,"s_texture","sil"
695746,4,"c_vintage","click"
695746,5,"s_serene","sil"
695746,5,"u_liveliness","um"
695746,5,"c_imagination","click"
695746,6,"f_balance","fluent"
695746,5,"u_elegant","um"
695746,4,"c_elegant","click"
695746,5,"c_dynamic","click"
695746,4,"u_vintage","um"
695746,5,"u_dynamic","um"
695746,6,"f_vintage","fluent"
695746,6,"s_vintage","sil"
695746,7,"f_tension","fluent"
695746,6,"f_imagination","fluent"
695746,6,"f_dynamic","fluent"
695746,4,"c_drama","click"
695746,7,"f_serene","fluent"
695746,6,"s_elegant","sil"
695746,7,"f_elegant","fluent"
695746,5,"s_tension","sil"
695746,4,"u_drama","um"
695746,6,"s_imagination","sil"
695746,7,"f_drama","fluent"
695746,4,"c_serene","click"
695746,6,"s_drama","sil"
695746,5,"u_imagination","um"
695747,2,"s_serene","sil"
695747,1,"c_liveliness","click"
695747,2,"c_texture","click"
695747,4,"s_texture","sil"
695747,5,"s_vintage","sil"
695747,4,"s_drama","sil"
695747,6,"f_vintage","fluent"
695747,7,"f_serene","fluent"
695747,7,"f_drama","fluent"
695747,5,"s_balance","sil"
695747,5,"u_liveliness","um"
695747,7,"f_balance","fluent"
695747,4,"u_texture","um"
695747,3,"c_dynamic","click"
695747,1,"u_tension","um"
695747,2,"c_balance","click"
695747,1,"u_balance","um"
695747,5,"f_imagination","fluent"
695747,3,"u_imagination","um"
695747,2,"c_tension","click"
695747,4,"u_dynamic","um"
695747,5,"c_serene","click"
695747,4,"c_elegant","click"
695747,7,"f_texture","fluent"
695747,7,"f_tension","fluent"
695747,6,"f_elegant","fluent"
695747,5,"s_imagination","sil"
695747,4,"u_drama","um"
695747,2,"s_tension","sil"
695747,3,"u_vintage","um"
695747,3,"c_imagination","click"
695747,4,"u_serene","um"
695747,3,"c_drama","click"
695747,3,"c_vintage","click"
695747,4,"s_dynamic","sil"
